matrix,T_MP_Ivy_Orig,T_MP_Ivy_1,T_MP_Ivy_2,T_MP_Has_1,T_MP_Has_2
mhd1280a,15382,14666,X,12747,X
reorientation_4,15839,16736,X,13912,X
lp_stocfor3,16531,22492,X,15758,X
bp_1000,17170,16360,X,14111,X
west0479,17858,17980,X,15157,X
ch4-4-b2,18544,18482,X,16108,X
DK01R,18569,17449,X,14923,X
celegansneural,19061,18990,X,16192,X
c-28,19257,13558,X,11970,X
orbitRaising_4,22536,22615,X,18321,X
circuit204,22812,22847,X,19096,X
GD97_a,23357,23217,X,20151,X
lp_modszk1,24476,24642,X,20784,X
pcb1000,26657,27100,X,23466,X
mhd4800b,29574,26847,X,23286,X
lp_grow22,30335,30251,X,25109,X
bayer02,30674,21779,25175,18436,19643
kineticBatchReactor_5,31632,28480,29340,25597,28686
can_256,32977,32807,32963,28134,28112
dynamicSoaringProblem_4,34058,29175,31718,24572,25912
qiulp,34828,34830,34099,29763,30696
lp_bnl1,36413,36958,35775,31603,31725
Hamrle2,36965,27437,27367,23097,25225
ex21,37236,37251,38039,31561,32516
fs_541_1,38634,X,38776,X,33090
fs_541_4,38750,X,38954,X,33636
fs_541_3,38836,X,39055,X,32799
fs_541_2,39259,X,38629,X,33169
c-29,40217,X,40674,X,33048
bp_600,40328,X,40191,X,34255
model1,43785,X,43574,X,37024
ncvxqp9,51673,X,58617,X,44078
de063157,56101,X,52323,X,44722
kineticBatchReactor_4,58461,X,53043,X,42115
kineticBatchReactor_9,62664,X,53697,X,42459
lp_sctap2,67631,X,65463,X,58049
can_229,76406,X,76093,X,64978
iiasa,76561,X,73990,X,63623
lpi_pilot4i,79647,X,79550,X,69389
lp_pilot4,79910,X,80087,X,69604
